Start Up Date 12 JUN 12 15:28 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 25.95 S  45.90 W      0 m



RS-number:  G2354345





Ground check  :    Ref     RS   Corr



  Pressure    : 1017.5 1015.3    2.2

  Temperature :   26.6   27.0   -0.4

  Humidity    :      0      5     -5

                     0      5     -5



Started at:      12 JUN 12 15:41 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1017.5   21.9  69   16.0  187   5.5

   0  2     1.3       3   1017.1   21.8  69   15.9  187   5.5

   0  4     1.3       5   1016.8   21.8  69   15.9  187   5.5

   0  6     1.3       8   1016.6   21.7  68   15.6  177   2.9

   0  8     1.3      10   1016.3   21.7  68   15.6  177   2.9

   0 10     1.3      13   1016.0   21.6  68   15.5  177   2.9

   0 12     1.3      15   1015.7   21.6  68   15.5  177   2.9

   0 14     1.3      18   1015.4   21.5  68   15.4  177   2.9

   0 16     1.3      20   1015.1   21.5  68   15.4  174   2.4

   0 18     1.3      23   1014.8   21.4  68   15.3  174   2.4

   0 20     1.3      25   1014.5   21.4  68   15.3  174   2.4

   0 22     1.2      27   1014.2   21.4  68   15.3  174   2.4

   0 24     1.2      29   1014.0   21.3  68   15.2  174   2.4

   0 26     1.2      32   1013.7   21.3  67   15.0  176   2.6

   0 28     1.2      34   1013.5   21.2  67   14.9  176   2.6

   0 30     1.2      36   1013.2   21.2  67   14.9  176   2.6

   0 32     1.2      39   1012.9   21.1  67   14.8  176   2.6

   0 34     1.2      41   1012.6   21.1  67   14.8  176   2.6

   0 36     1.2      44   1012.3   21.0  67   14.7  179   3.1

   0 38     1.2      46   1012.0   21.0  67   14.7  179   3.1

   0 40     1.2      49   1011.7   20.9  67   14.6  179   3.1

   0 42     1.2      51   1011.5   20.9  67   14.6  179   3.1

   0 44     1.2      54   1011.2   20.8  67   14.5  179   3.1

   0 46     1.2      56   1010.9   20.8  67   14.5  180   3.5

   0 48     1.2      59   1010.6   20.7  67   14.4  180   3.5

   0 50     1.2      61   1010.3   20.7  67   14.4  180   3.5

   0 52     1.3      64   1010.0   20.7  67   14.4  180   3.5

   0 54     1.3      66   1009.7   20.7  67   14.4  180   3.5

   0 56     1.3      69   1009.4   20.6  67   14.3  177   3.3

   0 58     1.3      71   1009.1   20.6  67   14.3  177   3.3

   1  0     1.3      74   1008.8   20.6  67   14.3  177   3.3

   1  2     1.3      77   1008.5   20.6  67   14.3  177   3.3

   1  4     1.3      79   1008.2   20.6  67   14.3  177   3.3

   1  6     1.3      82   1007.9   20.5  67   14.2  178   3.4

   1  8     1.3      84   1007.6   20.5  67   14.2  178   3.4

   1 10     1.3      87   1007.3   20.5  67   14.2  178   3.4

   1 12     1.4      90   1007.0   20.5  67   14.2  178   3.4

   1 14     1.4      93   1006.6   20.4  67   14.1  178   3.4

   1 16     1.4      96   1006.3   20.4  68   14.4  180   3.3

   1 18     1.4      99   1005.9   20.3  68   14.3  180   3.3

