Start Up Date 16 JUN 12  8:21 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.48 S  47.93 W      0 m



RS-number:  G2414793





Ground check  :    Ref     RS   Corr



  Pressure    : 1013.8 1012.2    1.6

  Temperature :   23.6   23.8   -0.2

  Humidity    :      0      4     -4

                     0      4     -4



Started at:      16 JUN 12  8:40 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s
   3  0     2.0     414    966.1   20.1  51    9.7  171   5.6

   3  2     1.9     417    965.7   20.1  50    9.4  171   5.6

   3  4     1.9     420    965.4   20.2  50    9.5  171   5.6

   3  6     1.9     424    965.0   20.2  49    9.2  171   6.1

   3  8     1.9     427    964.6   20.3  49    9.3  171   6.1

   3 10     1.9     430    964.2   20.3  48    9.0  171   6.1

   3 12     1.8     433    963.9   20.4  48    9.1  171   6.1

   3 14     1.8     437    963.5   20.4  48    9.1  171   6.1

   3 16     1.8     440    963.1   20.5  47    8.9  171   6.5

   3 18     1.8     444    962.7   20.5  47    8.9  171   6.5

   3 20     1.8     447    962.4   20.6  47    8.9  171   6.5

   3 22     1.7     450    962.0   20.6  47    9.0  171   6.5

   3 24     1.7     454    961.6   20.6  47    9.0  171   6.5

   3 26     1.7     457    961.2   20.7  47    9.1  171   6.7

   3 28     1.7     461    960.9   20.7  47    9.1  171   6.7

   3 30     1.7     464    960.5   20.7  47    9.0  171   6.7

   3 32     1.7     467    960.1   20.7  47    9.1  171   6.7

   3 34     1.7     471    959.7   20.7  47    9.1  171   6.7

   3 36     1.7     474    959.4   20.7  47    9.1  173   6.9

   3 38     1.7     478    959.0   20.7  47    9.1  173   6.9

   3 40     1.7     481    958.6   20.7  47    9.0  173   6.9

   3 42     1.8     485    958.1   20.7  47    9.1  173   6.9

   3 44     1.8     489    957.7   20.7  47    9.1  173   6.9

   3 46     1.8     494    957.2   20.7  47    9.1  176   7.3

   3 48     1.8     498    956.7   20.7  47    9.1  176   7.3

   3 50     1.8     502    956.3   20.7  47    9.0  176   7.3

   3 52     2.1     507    955.7   20.7  47    9.1  176   7.3

   3 54     2.1     512    955.1   20.7  47    9.1  176   7.3

   3 56     2.1     517    954.6   20.6  46    8.7  180   7.6

   3 58     2.1     522    954.0   20.6  46    8.7  180   7.6

   4  0     2.1     527    953.5   20.6  46    8.6  180   7.6

   4  2     2.4     532    952.9   20.6  46    8.7  180   7.6

