Start Up Date 12 JUN 12 12:54 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 25.97 S  45.63 W      0 m



RS-number:  G2414791





Ground check  :    Ref     RS   Corr



  Pressure    : 1018.3 1016.2    2.1

  Temperature :   26.0   26.3   -0.3

  Humidity    :      0      4     -4

                     0      4     -4



Started at:      12 JUN 12 13:07 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1018.3   21.9  70   16.2  224   7.2

   0  2     4.0       8   1017.2   21.8  69   15.9  224   7.2

   0  4     4.0      16   1016.3   21.7  69   15.8  224   7.2

   0  6     4.0      24   1015.4   21.5  68   15.4  219   4.4

   0  8     4.0      32   1014.4   21.4  68   15.3  219   4.4

   0 10     4.0      40   1013.5   21.3  67   14.9  219   4.4

   0 12     3.8      47   1012.6   21.2  67   14.9  219   4.4

   0 14     3.8      54   1011.8   21.1  68   15.0  219   4.4

   0 16     3.8      62   1011.0   21.1  68   15.0  225   3.4

   0 18     3.8      69   1010.1   21.0  69   15.2  225   3.4

   0 20     3.8      76   1009.3   20.9  69   15.0  225   3.4

   0 22     3.7      83   1008.5   20.8  69   15.0  225   3.4

   0 24     3.7      90   1007.7   20.8  69   15.0  225   3.4

   0 26     3.7      96   1006.9   20.7  70   15.1  233   2.8

   0 28     3.7     103   1006.1   20.7  70   15.1  233   2.8

   0 30     3.7     110   1005.3   20.6  70   15.0  233   2.8

   0 32     3.5     117   1004.6   20.5  70   14.9  233   2.8

   0 34     3.5     124   1003.8   20.5  70   14.9  233   2.8

   0 36     3.5     130   1003.0   20.4  71   15.0  231   2.6

   0 38     3.5     137   1002.2   20.4  71   15.0  231   2.6

   0 40     3.5     144   1001.4   20.3  71   14.9  231   2.6

   0 42     3.4     151   1000.6   20.2  71   14.8  231   2.6

   0 44     3.4     158    999.9   20.1  72   15.0  231   2.6

   0 46     3.4     164    999.1   20.1  72   15.0  225   2.5

   0 48     3.4     171    998.3   20.0  73   15.1  225   2.5

   0 50     3.4     178    997.5   19.9  73   14.9  225   2.5

   0 52     3.2     184    996.8   19.8  73   14.9  225   2.5

   0 54     3.2     190    996.2   19.8  73   14.9  225   2.5

   0 56     3.2     195    995.5   19.7  74   15.0  223   2.6

   0 58     3.2     201    994.8   19.7  74   15.0  223   2.6

   1  0     3.2     207    994.1   19.6  74   14.9  223   2.6

   1  2     3.0     213    993.5   19.6  74   14.9  223   2.6

   1  4     3.0     218    992.9   19.5  74   14.8  223   2.6

   1  6     3.0     224    992.2   19.5  75   15.0  223   2.8

   1  8     3.0     229    991.6   19.4  75   14.9  223   2.8

   1 10     3.0     235    991.0   19.4  75   14.9  223   2.8

   1 12     2.7     240    990.4   19.4  75   14.9  223   2.8

   1 14     2.7     245    989.8   19.3  75   14.8  223   2.8

   1 16     2.7     250    989.2   19.3  75   14.8  222   2.9

   1 18     2.7     255    988.6   19.2  75   14.7  222   2.9

