ÿStart Up Date 18 JUN 12  5:02 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 31.18 S  50.24 W      0 m



RS-number:  E2110331





Ground check  :    Ref     RS   Corr



  Pressure    : 1006.7 1004.8    1.9

  Temperature :   21.4   21.7   -0.3

  Humidity    :      0      3     -3

                     0      3     -3



Started at:      18 JUN 12  5:28 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s

   3  2     5.3     898    905.9   12.8  91   11.4    5   9.3

   3  4     5.3     910    904.7   12.7  92   11.5    5   9.3

   3  6     5.3     921    903.4   12.7  92   11.5    5   8.9

   3  8     5.3     933    902.2   12.6  93   11.5    5   8.9

   3 10     5.3     944    901.0   12.5  93   11.4    5   8.9

   3 12     5.8     956    899.6   12.4  93   11.3    5   8.9

   3 14     5.8     969    898.3   12.3  93   11.2    5   8.9

   3 16     5.8     981    897.0   12.3  94   11.4    3   8.9

   3 18     5.8     994    895.7   12.2  94   11.3    3   8.9

   3 20     5.8    1006    894.4   12.1  94   11.2    3   8.9

   3 22     6.1    1019    893.0   12.0  94   11.1    3   8.9

   3 24     6.1    1031    891.7   12.0  94   11.1    3   8.9

   3 26     6.1    1044    890.3   11.9  95   11.2    1   9.0

   3 28     6.1    1056    889.0   11.9  95   11.2    1   9.0

   3 30     6.1    1069    887.6   11.8  95   11.0    1   9.0

   3 32     6.4    1082    886.3   11.7  95   11.0    1   9.0

   3 34     6.4    1095    884.9   11.7  95   11.0    1   9.0

   3 36     6.4    1109    883.5   11.6  95   10.9  358   9.1

   3 38     6.4    1122    882.1   11.6  95   10.9  358   9.1

   3 40     6.4    1135    880.7   11.5  95   10.7  358   9.1

   3 42     6.4    1148    879.4   11.4  95   10.7  358   9.1

   3 44     6.4    1160    878.1   11.4  95   10.7  358   9.1

   3 46     6.4    1173    876.7   11.3  95   10.6  356   9.1

   3 48     6.4    1185    875.4   11.3  95   10.6  356   9.1

   3 50     6.4    1198    874.1   11.2  95   10.4  356   9.1

   3 52     6.3    1210    872.8   11.1  95   10.4  356   9.1

   3 54     6.3    1222    871.5   11.0  95   10.3  356   9.1

   3 56     6.3    1235    870.3   11.0  95   10.3  355   9.0

   3 58     6.3    1247    869.0   10.9  95   10.2  355   9.0

   4  0     6.3    1259    867.7   10.8  95   10.0  355   9.0

   4  2     6.3    1272    866.4   10.7  95   10.0  355   9.0

   4  4     6.3    1285    865.1   10.7  95   10.0  355   9.0

   4  6     6.3    1297    863.8   10.6  95    9.9  354   9.0

   4  8     6.3    1310    862.5   10.6  95    9.9  354   9.0

   4 10     6.3    1323    861.2   10.5  95    9.7  354   9.0

   4 12     6.3    1336    859.8   10.4  95    9.7  354   9.0

   4 14     6.3    1349    858.5   10.3  95    9.6  354   9.0

   4 16     6.3    1362    857.2   10.3  95    9.6  352   8.9

   4 18     6.3    1375    855.8   10.2  95    9.5  352   8.9

   4 20     6.3    1388    854.5   10.1  95    9.3  352   8.9

   4 22     6.5    1401    853.1   10.0  95    9.3  352   8.9

   4 24     6.5    1415    851.7    9.9  95    9.2  352   8.9

   4 26     6.5    1428    850.4    9.9  95    9.2  349   8.8

   4 28     6.5    1442    849.0    9.8  95    9.1  349   8.8

   4 30     6.5    1455    847.6    9.7  95    8.9  349   8.8

   4 32     6.7    1469    846.2    9.6  95    8.9  349   8.8

   4 34     6.7    1483    844.8    9.6  95    8.9  349   8.8

   4 36     6.7    1496    843.4    9.5  95    8.8  346   8.7

   4 38     6.7    1510    842.0    9.5  95    8.8  346   8.7

   4 40     6.7    1524    840.6    9.4  95    8.6  346   8.7

   4 42     6.9    1538    839.2    9.3  95    8.6  346   8.7

   4 44     6.9    1552    837.7    9.2  95    8.5  346   8.7

   4 46     6.9    1567    836.3    9.2  95    8.5  341   8.2

   4 48     6.9    1581    834.9    9.1  95    8.4  341   8.2

   4 50     6.9    1595    833.5    9.0  95    8.2  341   8.2

   4 52     6.8    1608    832.2    8.9  95    8.2  341   8.2

   4 54     6.8    1621    830.9    8.8  95    8.1  341   8.2

   4 56     6.8    1634    829.6    8.7  95    8.0  336   7.7

   4 58     6.8    1647    828.3    8.6  95    7.9  336   7.7

   5  0     6.8    1660    827.0    8.5  95    7.7  336   7.7

   5  2     6.6    1672    825.7    8.7  94    7.8  336   7.7

   5  4     6.6    1685    824.5    8.8  93    7.8  336   7.7

   5  6     6.6    1697    823.2    9.0  92    7.8  330   7.3

   5  8     6.6    1710    822.0    9.1  91    7.8  330   7.3

   5 10     6.6    1722    820.7    9.3  90    7.7  330   7.3

   5 12     6.3    1734    819.5    9.3  89    7.6  330   7.3

   5 14     6.3    1746    818.3    9.3  89    7.6  330   7.3

   5 16     6.3    1759    817.1    9.4  88    7.6  323   7.3

   5 18     6.3    1771    815.9    9.4  88    7.6  323   7.3

   5 20     6.3    1783    814.7    9.4  87    7.4  323   7.3

   5 22     6.0    1794    813.6    9.3  86    7.1  323   7.3

   5 24     6.0    1806    812.5    9.3  86    7.1  323   7.3

   5 26     6.0    1817    811.4    9.2  85    6.9  315   7.2

   5 28     6.0    1829    810.3    9.2  85    6.9  315   7.2

   5 30     6.0    1840    809.2    9.1  84    6.5  315   7.2

   5 32     6.0    1852    808.0    9.0  84    6.5  315   7.2

   5 34     6.0    1864    806.8    8.9  84    6.4  315   7.2

   5 36     6.0    1877    805.7    8.8  83    6.1  305   7.1

   5 38     6.0    1889    804.5    8.7  83    6.0  305   7.1

   5 40     6.0    1901    803.3    8.6  83    5.9  305   7.1

   5 42     6.1    1914    802.0    8.5  83    5.8  305   7.1

   5 44     6.1    1927    800.8    8.4  83    5.7  305   7.1

   5 46     6.1    1940    799.5    8.3  83    5.6  298   7.5

   5 48     6.1    1953    798.3    8.2  83    5.5  298   7.5

   5 50     6.1    1966    797.0    8.1  83    5.4  298   7.5

   5 52     6.5    1980    795.7    8.0  83    5.3  298   7.5

   5 54     6.5    1993    794.4    7.9  83    5.2  298   7.5

   5 56     6.5    2007    793.1    7.8  82    5.0  291   7.8

   5 58     6.5    2020    791.8    7.7  82    4.9  291   7.8

   6  0     6.5    2034    790.5    7.6  82    4.7  291   7.8

   6  2     6.4    2046    789.3    7.5  81    4.5  291   7.8

   6  4     6.4    2057    788.2    7.4  81    4.4  291   7.8

   6  6     6.4    2069    787.1    7.4  80    4.2  286   8.1

   6  8     6.4    2080    786.0    7.3  80    4.1  286   8.1

   6 10     6.4    2092    784.9    7.2  79    3.8  286   8.1

   6 12     6.0    2103    783.8    7.1  79    3.8  286   8.1

   6 14     6.0    2114    782.8    7.0  78    3.5  286   8.1

   6 16     6.0    2125    781.8    7.0  78    3.5  282   8.0

   6 18     6.0    2136    780.7    6.9  77    3.2  282   8.0

   6 20     6.0    2147    779.7    6.8  77    3.1  282   8.0

   6 22     5.4    2157    778.8    6.8  77    3.1  282   8.0

   6 24     5.4    2167    777.8    6.7  76    2.8  282   8.0

   6 26     5.4    2177    776.9    6.7  76    2.8  279   7.9

   6 28     5.4    2187    775.9    6.6  75    2.5  279   7.9

   6 30     5.4    2197    775.0    6.6  75    2.5  279   7.9

   6 32     5.0    2206    774.1    6.6  75    2.5  279   7.9

   6 34     5.0    2215    773.2    6.5  75    2.4  279   7.9

   6 36     5.0    2225    772.4    6.5  74    2.2  278   7.7

   6 38     5.0    2234    771.5    6.4  74    2.2  278   7.7

   6 40     5.0    2243    770.6    6.4  74    2.1  278   7.7

   6 42     4.5    2251    769.9    6.4  74    2.2  278   7.7

   6 44     4.5    2259    769.1    6.4  74    2.2  278   7.7

   6 46     4.5    2267    768.4    6.3  73    1.9  280   7.2

   6 48     4.5    2275    767.6    6.3  73    1.9  280   7.2

   6 50     4.5    2283    766.9    6.3  73    1.8  280   7.2

   6 52     4.0    2290    766.2    6.3  73    1.9  280   7.2

   6 54     4.0    2297    765.6    6.2  73    1.8  280   7.2

   6 56     4.0    2303    765.0    6.2  73    1.8  278   7.2

   6 58     4.0    2310    764.3    6.1  73    1.7  278   7.2

   7  0     4.0    2317    763.7    6.1  73    1.6  278   7.2

   7  2     3.7    2324    763.0    6.1  73    1.7  278   7.2

   7  4     3.7    2331    762.4    6.1  73    1.7  278   7.2

   7  6     3.7    2339    761.7    6.0  73    1.6  277   7.1

   7  8     3.7    2346    761.0    6.0  73    1.6  277   7.1

   7 10     3.7    2353    760.4    6.0  73    1.5  277   7.1

   7 12     3.5    2360    759.7    5.9  73    1.5  277   7.1

   7 14     3.5    2367    759.1    5.9  73    1.5  277   7.1

   7 16     3.5    2373    758.5    5.8  73    1.4  275   7.1

   7 18     3.5    2380    757.8    5.8  73    1.4  275   7.1

   7 20     3.5    2387    757.2    5.7  73    1.2  275   7.1

   7 22     3.5    2394    756.6    5.6  73    1.2  275   7.1

   7 24     3.5    2401    756.0    5.6  73    1.2  275   7.1

   7 26     3.5    2407    755.3    5.5  73    1.1  272   7.2

   7 28     3.5    2414    754.7    5.5  73    1.1  272   7.2

   7 30     3.5    2421    754.1    5.4  73    1.0  272   7.2

   7 32     3.4    2428    753.4    5.3  73    0.9  272   7.2

   7 34     3.4    2435    752.8    5.3  73    0.9  272   7.2

   7 36     3.4    2441    752.2    5.2  74    1.0  270   7.1

   7 38     3.4    2448    751.6    5.2  74    1.0  270   7.1

   7 40     3.4    2455    750.9    5.1  74    0.9  270   7.1

   7 42     3.3    2461    750.4    5.1  74    0.9  270   7.1

