Start Up Date 16 JUN 12 21:52 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.07 S  49.06 W      0 m



RS-number:  G2414833





Ground check  :    Ref     RS   Corr



  Pressure    : 1018.0 1016.7    1.3

  Temperature :   21.7   22.0   -0.3

  Humidity    :      0      5     -5

                     0      5     -5



Start Up Date 16 JUN 12 22:19 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.06 S  49.05 W      0 m



RS-number:  E2021260





Ground check  :    Ref     RS   Corr



  Pressure    : 1018.0 1016.0    2.0

  Temperature :   22.2   22.6   -0.4

  Humidity    :      0      6     -6

                     0      6     -6



Started at:      16 JUN 12 22:41 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s

   2 50     2.7     753    931.4   12.5  91   11.1  181   8.2

   2 52     2.5     758    930.8   12.5  91   11.1  181   8.2

   2 54     2.5     763    930.3   12.4  91   11.0  181   8.2

   2 56     2.5     767    929.7   12.4  90   10.9  182   8.1

   2 58     2.5     772    929.2   12.3  90   10.8  182   8.1

   3  0     2.5     777    928.7   12.3  90   10.7  182   8.1

   3  2     2.5     782    928.1   12.3  90   10.8  182   8.1

   3  4     2.5     787    927.6   12.3  90   10.8  182   8.1

   3  6     2.5     792    927.0   12.2  89   10.5  182   8.0

   3  8     2.5     797    926.5   12.2  89   10.5  182   8.0

   3 10     2.5     802    925.9   12.2  89   10.4  182   8.0

   3 12     2.5     807    925.4   12.2  89   10.5  182   8.0

   3 14     2.5     812    924.8   12.1  89   10.4  182   8.0

   3 16     2.5     818    924.2   12.1  89   10.4  183   7.9

   3 18     2.5     823    923.6   12.0  89   10.3  183   7.9

   3 20     2.5     828    923.0   12.0  89   10.2  183   7.9

   3 22     2.6     833    922.4   12.0  89   10.3  183   7.9

   3 24     2.6     839    921.8   12.0  89   10.3  183   7.9

   3 26     2.6     844    921.3   11.9  89   10.2  184   7.7

   3 28     2.6     850    920.7   11.9  89   10.2  184   7.7

   3 30     2.6     855    920.1   11.9  89   10.1  184   7.7

   3 32     2.6     860    919.5   11.9  89   10.2  184   7.7

   3 34     2.6     865    919.0   11.9  89   10.2  184   7.7

   3 36     2.6     870    918.5   11.8  89   10.1  185   7.6

   3 38     2.6     875    917.9   11.8  89   10.1  185   7.6

   3 40     2.6     880    917.4   11.8  89   10.1  185   7.6

   3 42     2.6     885    916.8   11.8  89   10.1  185   7.6

   3 44     2.6     890    916.2   11.7  89   10.0  185   7.6

   3 46     2.6     896    915.6   11.7  88    9.8  186   7.5

   3 48     2.6     901    915.1   11.6  88    9.7  186   7.5

   3 50     2.6     906    914.5   11.6  88    9.7  186   7.5

   3 52     2.5     911    913.9   11.6  88    9.7  186   7.5

   3 54     2.5     916    913.4   11.6  88    9.7  186   7.5

   3 56     2.5     921    912.9   11.5  87    9.5  186   7.4

   3 58     2.5     926    912.3   11.5  87    9.5  186   7.4

   4  0     2.5     931    911.8   11.5  87    9.4  186   7.4

   4  2     2.6     937    911.2   11.5  87    9.5  186   7.4

   4  4     2.6     942    910.6   11.5  87    9.5  186   7.4

   4  6     2.6     948    909.9   11.4  88    9.5  186   7.4

   4  8     2.6     953    909.3   11.4  88    9.5  186   7.4

   4 10     2.6     959    908.7   11.4  88    9.5  186   7.4

   4 12     2.7     965    908.1   11.4  88    9.5  186   7.4

   4 14     2.7     971    907.5   11.3  88    9.4  186   7.4

   4 16     2.7     976    906.8   11.3  88    9.4  187   7.4

   4 18     2.7     982    906.2   11.2  88    9.3  187   7.4

   4 20     2.7     988    905.6   11.2  88    9.3  187   7.4

   4 22     2.9     994    904.9   11.2  88    9.3  187   7.4

   4 24     2.9    1000    904.3   11.1  88    9.2  187   7.4

   4 26     2.9    1007    903.6   11.1  89    9.4  189   7.5

   4 28     2.9    1013    902.9   11.0  89    9.3  189   7.5

   4 30     2.9    1019    902.3   11.0  89    9.3  189   7.5

   4 32     2.9    1025    901.7   11.0  89    9.3  189   7.5

   4 34     2.9    1030    901.1   11.0  89    9.3  189   7.5

   4 36     2.9    1036    900.4   10.9  89    9.2  190   7.5

   4 38     2.9    1041    899.8   10.9  89    9.2  190   7.5

   4 40     2.9    1047    899.2   10.9  89    9.2  190   7.5

   4 42     2.9    1053    898.6   10.9  89    9.2  190   7.5

   4 44     2.9    1059    898.0   10.8  89    9.1  190   7.5

   4 46     2.9    1064    897.4   10.8  89    9.1  192   7.6

   4 48     2.9    1070    896.8   10.7  89    9.0  192   7.6

   4 50     2.9    1076    896.1   10.7  89    9.0  192   7.6

   4 52     2.8    1081    895.6   10.7  89    9.0  192   7.6

   4 54     2.8    1086    895.0   10.7  89    9.0  192   7.6

   4 56     2.8    1092    894.4   10.6  90    9.1  195   7.8

   4 58     2.8    1097    893.9   10.6  90    9.1  195   7.8

   5  0     2.8    1102    893.3   10.6  90    9.0  195   7.8

   5  2     2.7    1107    892.7   10.6  90    9.1  195   7.8

   5  4     2.7    1113    892.2   10.5  90    9.0  195   7.8

   5  6     2.7    1118    891.6   10.5  90    9.0  198   7.8

   5  8     2.7    1124    891.0   10.4  90    8.9  198   7.8

   5 10     2.7    1129    890.5   10.4  90    8.8  198   7.8

   5 12     2.6    1134    889.9   10.4  90    8.9  198   7.8

   5 14     2.6    1139    889.3   10.4  90    8.9  198   7.8

   5 16     2.6    1145    888.8   10.3  90    8.8  202   7.8

   5 18     2.6    1150    888.2   10.3  90    8.8  202   7.8

