Start Up Date 17 JUN 12 21:14 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 31.52 S  49.77 W      0 m



RS-number:  E2110328





Ground check  :    Ref     RS   Corr



  Pressure    : 1014.7 1012.9    1.8

  Temperature :   20.7   21.1   -0.4

  Humidity    :      0      6     -6

                     0      6     -6



Started at:      17 JUN 12 21:55 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1014.7   18.4  71   13.1   82  12.6

   0  2     3.6       7   1013.9   18.2  72   13.1   82  12.6

   0  4     3.6      14   1013.0   18.0  73   13.1   82  12.6

   0  6     3.6      22   1012.2   17.7  74   13.1   64  12.4

   0  8     3.6      29   1011.4   17.5  75   13.1   64  12.4

   0 10     3.6      36   1010.5   17.3  76   13.0   64  12.4

   0 12     3.5      43   1009.7   17.1  76   12.9   64  12.4

   0 14     3.5      49   1008.9   16.9  76   12.7   64  12.4

   0 16     3.5      56   1008.1   16.6  77   12.6   59  13.3

   0 18     3.5      62   1007.4   16.4  77   12.4   59  13.3

   0 20     3.5      69   1006.6   16.2  77   12.2   59  13.3

   0 22     3.3      75   1005.8   16.2  77   12.2   59  13.3

   0 24     3.3      81   1005.1   16.1  77   12.1   59  13.3

   0 26     3.3      88   1004.4   16.1  78   12.3   58  14.3

   0 28     3.3      94   1003.6   16.0  78   12.2   58  14.3

   0 30     3.3     100   1002.9   16.0  78   12.2   58  14.3

   0 32     3.2     106   1002.2   15.9  78   12.1   58  14.3

   0 34     3.2     112   1001.4   15.9  78   12.1   58  14.3

   0 36     3.2     119   1000.7   15.8  79   12.2   59  14.7

   0 38     3.2     125   1000.0   15.8  79   12.2   59  14.7

   0 40     3.2     131    999.2   15.7  79   12.1   59  14.7

   0 42     3.1     137    998.5   15.6  79   12.0   59  14.7

   0 44     3.1     143    997.8   15.6  79   12.0   59  14.7

   0 46     3.1     150    997.0   15.5  80   12.1   59  14.6

   0 48     3.1     156    996.3   15.5  80   12.1   59  14.6

   0 50     3.1     162    995.6   15.4  80   12.0   59  14.6

   0 52     3.3     169    994.7   15.4  80   12.0   59  14.6

   0 54     3.3     176    993.9   15.3  80   11.9   59  14.6

   0 56     3.3     184    993.1   15.3  80   11.9   60  14.5

   0 58     3.3     191    992.3   15.2  80   11.8   60  14.5

   1  0     3.3     198    991.5   15.2  80   11.8   60  14.5

   1  2     3.4     205    990.6   15.1  80   11.7   60  14.5

   1  4     3.4     212    989.8   15.1  80   11.7   60  14.5

   1  6     3.4     219    989.0   15.0  81   11.8   61  14.3

   1  8     3.4     226    988.2   15.0  81   11.8   61  14.3

   1 10     3.4     233    987.3   14.9  81   11.7   61  14.3

   1 12     3.5     240    986.5   14.9  81   11.7   61  14.3

   1 14     3.5     247    985.7   14.8  81   11.6   61  14.3

   1 16     3.5     254    984.9   14.8  82   11.8   61  14.5

   1 18     3.5     261    984.1   14.7  82   11.7   61  14.5

   1 20     3.5     268    983.3   14.7  82   11.7   61  14.5
