Start Up Date 16 JUN 12 11:01 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.43 S  48.05 W      0 m



RS-number:  G2414769





Ground check  :    Ref     RS   Corr



  Pressure    : 1013.9 1012.5    1.4

  Temperature :   23.0   23.2   -0.2

  Humidity    :      0      5     -5

                     0      5     -5



Started at:      16 JUN 12 11:17 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1013.9   21.2  81   17.8  233   3.7

   0  2     3.6       7   1013.1   20.9  81   17.6  233   3.7

   0  4     3.6      14   1012.3   20.6  81   17.3  233   3.7

   0  6     3.6      22   1011.5   20.4  80   16.9  236   3.0

   0  8     3.6      29   1010.6   20.1  80   16.6  236   3.0

   0 10     3.6      36   1009.8   19.8  80   16.3  236   3.0

   0 12     3.5      43   1009.0   19.8  80   16.3  236   3.0

   0 14     3.5      50   1008.2   19.8  80   16.3  236   3.0

   0 16     3.5      56   1007.4   19.7  79   16.0  230   3.1

   0 18     3.5      63   1006.6   19.7  79   16.0  230   3.1

   0 20     3.5      70   1005.8   19.7  79   16.0  230   3.1

   0 22     3.4      76   1005.1   19.7  78   15.8  230   3.1

   0 24     3.4      82   1004.4   19.7  78   15.8  230   3.1

   0 26     3.4      89   1003.6   19.6  77   15.5  224   3.3

   0 28     3.4      95   1002.9   19.6  77   15.5  224   3.3

   0 30     3.4     101   1002.2   19.6  76   15.3  224   3.3

   0 32     3.2     107   1001.4   19.6  75   15.1  224   3.3

   0 34     3.2     114   1000.7   19.6  75   15.1  224   3.3

   0 36     3.2     120   1000.0   19.7  74   15.0  219   3.6

   0 38     3.2     127    999.2   19.7  74   15.0  219   3.6

   0 40     3.2     133    998.5   19.7  73   14.7  219   3.6

   0 42     3.1     139    997.8   19.7  72   14.6  219   3.6

   0 44     3.1     145    997.0   19.8  71   14.4  219   3.6

   0 46     3.1     152    996.3   19.8  71   14.4  215   3.9

   0 48     3.1     158    995.6   19.9  70   14.3  215   3.9

   0 50     3.1     164    994.8   19.9  69   14.1  215   3.9

   0 52     3.1     170    994.2   19.9  69   14.1  215   3.9

   0 54     3.1     176    993.5   20.0  69   14.2  215   3.9

   0 56     3.1     182    992.8   20.0  70   14.4  214   4.3

   0 58     3.1     188    992.1   20.1  70   14.5  214   4.3

   1  0     3.1     194    991.5   20.1  70   14.5  214   4.3

   1  2     2.9     199    990.8   20.1  70   14.5  214   4.3

   1  4     2.9     205    990.2   20.1  71   14.7  214   4.3

   1  6     2.9     210    989.6   20.2  71   14.8  213   4.7

   1  8     2.9     216    988.9   20.2  72   15.0  213   4.7

   1 10     2.9     221    988.3   20.2  72   15.0  213   4.7

   1 12     2.8     226    987.7   20.2  72   15.0  213   4.7

   1 14     2.8     231    987.2   20.2  72   15.0  213   4.7

   1 16     2.8     237    986.6   20.2  73   15.3  213   5.1

   1 18     2.8     242    986.0   20.2  73   15.3  213   5.1

   1 20     2.8     247    985.4   20.2  73   15.2  213   5.1

