Start Up Date 16 JUN 12 13:12 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.40 S  48.14 W      0 m



RS-number:  G2344394





Ground check  :    Ref     RS   Corr



  Pressure    : 1013.3 1012.1    1.2

  Temperature :   25.0   25.2   -0.2

  Humidity    :      0      5     -5

                     0      5     -5



Started at:      16 JUN 12 13:30 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1013.3   19.7  89   17.8  278   5.8

   0  2     3.6       7   1012.4   19.6  87   17.4  278   5.8

   0  4     3.6      14   1011.5   19.5  85   17.0  278   5.8

   0  6     3.6      22   1010.7   19.3  84   16.6  239   7.2

   0  8     3.6      29   1009.9   19.2  82   16.1  239   7.2

   0 10     3.6      36   1009.0   19.1  80   15.6  239   7.2

   0 12     3.7      44   1008.1   19.0  80   15.5  239   7.2

   0 14     3.7      51   1007.3   18.9  81   15.6  239   7.2

   0 16     3.7      59   1006.4   18.9  81   15.6  224   7.9

   0 18     3.7      66   1005.5   18.8  82   15.7  224   7.9

   0 20     3.7      74   1004.6   18.7  82   15.6  224   7.9

   0 22     3.7      81   1003.7   18.6  82   15.5  224   7.9

   0 24     3.7      89   1002.8   18.6  82   15.5  224   7.9

   0 26     3.7      96   1002.0   18.5  83   15.6  216   8.5

   0 28     3.7     104   1001.1   18.5  83   15.6  216   8.5

   0 30     3.7     111   1000.2   18.4  83   15.5  216   8.5

   0 32     3.7     118    999.4   18.3  83   15.4  216   8.5

   0 34     3.7     125    998.5   18.3  83   15.4  216   8.5

   0 36     3.7     133    997.7   18.2  84   15.5  212   9.1

   0 38     3.7     140    996.9   18.2  84   15.5  212   9.1

   0 40     3.7     147    996.1   18.1  84   15.4  212   9.1

   0 42     3.6     154    995.2   18.0  84   15.3  212   9.1

   0 44     3.6     161    994.4   18.0  84   15.3  212   9.1

   0 46     3.6     169    993.6   17.9  84   15.2  210   9.5

   0 48     3.6     176    992.8   17.9  84   15.2  210   9.5

   0 50     3.6     183    991.9   17.8  84   15.1  210   9.5

   0 52     3.4     189    991.2   17.8  84   15.1  210   9.5

   0 54     3.4     195    990.5   17.7  83   14.8  210   9.5

   0 56     3.4     202    989.8   17.7  83   14.8  211   9.8

   0 58     3.4     208    989.0   17.6  82   14.5  211   9.8

   1  0     3.4     214    988.3   17.6  82   14.5  211   9.8

   1  2     3.3     220    987.6   17.7  81   14.4  211   9.8

   1  4     3.3     226    986.9   17.7  80   14.3  211   9.8

   1  6     3.3     233    986.1   17.8  80   14.4  210   9.9

   1  8     3.3     239    985.4   17.8  79   14.2  210   9.9

   1 10     3.3     245    984.7   17.9  78   14.0  210   9.9

   1 12     3.0     251    984.1   17.9  77   13.9  210   9.9

   1 14     3.0     256    983.4   18.0  76   13.8  210   9.9

   1 16     3.0     262    982.8   18.0  74   13.4  210   9.9

   1 18     3.0     267    982.2   18.1  73   13.2  210   9.9

   1 20     3.0     273    981.6   18.1  72   13.0  210   9.9

